Destination,Budget_Min,Budget_Max,Start_Date,End_Date,Travel_Type,Activities,Accommodation_Type,Cuisine,Past_Travel_History,Language,Geographical_Features,Cost,Weather_Conditions,Accessibility,Accommodation_Options,Cultural_Highlights,Local_Cuisine,User_Reviews,Special_Features,Tourist_Spots
Goa,12052,198222,2024-07-26,2024-12-26,Group,Relaxation,Villa,Seafood,Varanasi,English,Rishikesh,70000-80000,Moderate,Medium,Homestay,Eat both break.,Vegetarian,3,Size billion determine.,"Solang Valley, Rohtang Pass"
Jaipur,166595,42590,2024-08-10,2024-09-29,Family,"Cultural, Relaxation",Homestay,Street Food,Jaipur,English,Andaman,10000-20000,Moderate,High,Resort,Hour tax arrive.,Street Food,5,Military remain successful next power.,"Munnar, Alleppey, Varkala"
Rishikesh,64081,177859,2024-08-27,2024-09-25,Family,"Nature, Relaxation, Food-related",Hostel,Street Food,"Rishikesh, Varanasi",English,Mumbai,60000-70000,Tropical,Medium,Homestay,Prepare name in college beat.,Street Food,5,Several national our hair fly value.,"Fort Kochi, Thekkady"
Leh,153054,135140,2024-10-05,2024-12-28,Couple,"Nature, Food-related",Hotel,Street Food,"Delhi, Manali",English,Varanasi,20000-30000,Tropical,Low,Villa,Future right their now wonder Mrs.,North Indian,2,Positive avoid rule just hear person.,Kashi Vishwanath Temple
Andaman,126297,7709,2024-11-27,2024-12-06,Group,"Relaxation, Food-related, Cultural",Homestay,Street Food,"Delhi, Mumbai",English,Goa,80000-90000,Moderate,Low,Hotel,Small imagine natural defense thousand.,Seafood,1,Prevent just notice probably hair.,Periyar Wildlife Sanctuary
Mumbai,32065,104657,2024-07-31,2024-10-31,Couple,"Relaxation, Adventure",Hotel,Vegetarian,"Rishikesh, Jaipur",English,Goa,20000-30000,Snowy,High,Hotel,Color my black Mrs run.,South Indian,4,Establish hand their.,"Solang Valley, Rohtang Pass"
Manali,58044,69871,2024-06-08,2024-08-22,Solo,"Food-related, Nature",Hostel,Vegetarian,"Kerala, Jaipur, Varanasi",English,Goa,50000-60000,Snowy,Low,Hotel,Threat meeting fund near.,Vegetarian,4,Husband teacher democratic certain statement however.,"Munnar, Alleppey, Varkala"
Varanasi,10619,14649,2024-08-26,2024-12-04,Family,"Nature, Adventure, Food-related",Hostel,Vegetarian,"Mumbai, Varanasi",English,Mumbai,80000-90000,Snowy,Low,Hotel,Action try site figure leave.,South Indian,1,By common its anything much.,"Fort Kochi, Thekkady"
Jaipur,119872,153073,2024-12-10,2024-12-31,Solo,Food-related,Hotel,Seafood,Mumbai,English,Delhi,40000-50000,Snowy,Medium,Resort,Recently key bar become.,South Indian,2,Do spring last common like.,Kashi Vishwanath Temple
Mumbai,150119,71584,2024-09-16,2024-11-01,Group,"Cultural, Relaxation, Food-related",Hotel,North Indian,Delhi,English,Mumbai,60000-70000,Snowy,High,Homestay,Bit she stand soon six home.,North Indian,5,Cover dream become your beautiful.,Periyar Wildlife Sanctuary
Leh,50262,86263,2024-04-11,2024-10-08,Family,Food-related,Hostel,Vegetarian,"Mumbai, Manali",English,Manali,50000-60000,Moderate,Low,Hotel,Action interview technology like.,South Indian,2,Figure nature hard only even.,"Solang Valley, Rohtang Pass"
Varanasi,37376,136137,2024-12-01,2024-12-30,Couple,"Relaxation, Adventure",Homestay,North Indian,"Goa, Delhi",English,Kerala,60000-70000,Tropical,High,Hotel,Financial among interesting west officer.,Street Food,2,Surface sing organization arm.,"Munnar, Alleppey, Varkala"
Andaman,75172,178909,2024-11-25,2025-01-12,Couple,"Nature, Food-related, Adventure",Homestay,Seafood,"Leh, Manali, Kerala",English,Mumbai,30000-40000,Snowy,Medium,Villa,Consider condition away fine forget thank.,North Indian,2,Real response soon.,"Fort Kochi, Thekkady"
Rishikesh,31020,92742,2024-04-07,2024-06-17,Couple,"Cultural, Food-related",Hotel,Vegetarian,Jaipur,English,Delhi,90000-100000,Tropical,Medium,Resort,Training kid scientist computer box federal.,Vegetarian,4,Machine minute ok during.,Kashi Vishwanath Temple
Mumbai,10971,86870,2024-07-01,2024-12-06,Solo,Food-related,Hotel,Seafood,Leh,English,Kerala,70000-80000,Moderate,Medium,Hotel,Coach realize month civil.,Vegetarian,5,Article life win opportunity.,Periyar Wildlife Sanctuary
Delhi,5143,127925,2024-09-27,2024-11-24,Solo,"Adventure, Food-related",Homestay,South Indian,"Jaipur, Delhi, Kerala",English,Leh,120000-130000,Snowy,High,Homestay,Walk administration amount sure than.,North Indian,4,Wife grow claim field thought nature.,"Solang Valley, Rohtang Pass"
Goa,29694,198769,2024-03-30,2024-05-16,Family,"Food-related, Nature, Relaxation",Villa,Street Food,"Delhi, Jaipur, Andaman",English,Mumbai,70000-80000,Moderate,Low,Resort,Ability edge trial would.,Street Food,5,Yourself less religious.,"Munnar, Alleppey, Varkala"
Varanasi,77573,173080,2024-12-12,2024-12-21,Family,Food-related,Hostel,North Indian,"Andaman, Delhi",English,Jaipur,90000-100000,Tropical,Low,Hostel,Decide everyone enter smile all personal.,North Indian,5,Near director score help have agreement.,"Fort Kochi, Thekkady"
Kerala,172640,168693,2024-09-11,2024-11-19,Group,"Relaxation, Cultural, Adventure",Hostel,South Indian,"Mumbai, Kerala",English,Varanasi,120000-130000,Moderate,Low,Villa,Firm space why game season expect.,Vegetarian,5,See paper west its position agency.,Kashi Vishwanath Temple
Rishikesh,161843,53184,2024-06-19,2024-11-20,Couple,"Cultural, Nature, Food-related",Homestay,North Indian,Goa,English,Rishikesh,160000-170000,Moderate,High,Villa,Throughout everybody mean.,Vegetarian,2,Property project country describe.,Periyar Wildlife Sanctuary
Varanasi,10717,85775,2024-03-11,2024-06-10,Solo,Adventure,Hotel,Vegetarian,"Varanasi, Goa",English,Kerala,170000-180000,Tropical,Low,Resort,Above amount support.,North Indian,5,Receive discuss meet name lose sort.,"Solang Valley, Rohtang Pass"
Kerala,43648,145674,2024-01-07,2024-05-02,Group,Cultural,Resort,Vegetarian,"Kerala, Manali, Leh",English,Jaipur,160000-170000,Moderate,Low,Homestay,Class shake listen.,North Indian,3,Up yeah quickly while simple.,"Munnar, Alleppey, Varkala"
Leh,97265,5902,2024-12-06,2024-12-27,Solo,"Food-related, Nature, Relaxation",Resort,South Indian,"Leh, Delhi",English,Mumbai,60000-70000,Snowy,Medium,Hostel,Accept decade scene rich difference chair.,Vegetarian,3,Note only whether.,"Fort Kochi, Thekkady"
Mumbai,123042,45324,2024-01-27,2024-11-23,Family,"Relaxation, Nature",Hostel,Seafood,"Andaman, Jaipur, Manali",English,Varanasi,150000-160000,Snowy,Medium,Hostel,Cover idea its order.,Vegetarian,5,Author option majority.,Kashi Vishwanath Temple
Mumbai,195525,166592,2024-04-27,2024-08-03,Group,Adventure,Homestay,South Indian,"Kerala, Mumbai, Jaipur",English,Jaipur,0-10000,Tropical,Medium,Hostel,Meet share up.,South Indian,2,Sister say president then.,Periyar Wildlife Sanctuary
Mumbai,139927,101397,2024-09-27,2024-10-28,Solo,"Adventure, Food-related, Relaxation",Homestay,Vegetarian,Manali,English,Mumbai,90000-100000,Tropical,High,Villa,Represent while under ever according help.,South Indian,3,Skill resource believe fire.,"Solang Valley, Rohtang Pass"
Mumbai,181691,44920,2024-05-14,2024-09-10,Couple,"Food-related, Nature, Relaxation",Resort,Street Food,"Mumbai, Goa",English,Andaman,170000-180000,Tropical,High,Hotel,Speak safe I level community.,South Indian,1,Enter administration there commercial themselves believe.,"Munnar, Alleppey, Varkala"
Andaman,190385,178540,2024-04-23,2024-12-09,Group,"Relaxation, Food-related, Adventure",Villa,South Indian,"Mumbai, Leh",English,Kerala,20000-30000,Snowy,Low,Hostel,Present list stand well social allow.,North Indian,2,Part fine growth past create assume.,"Fort Kochi, Thekkady"
Kerala,38654,24001,2024-06-30,2024-07-10,Group,Cultural,Homestay,South Indian,"Jaipur, Kerala",English,Leh,20000-30000,Moderate,Medium,Hotel,Certain bit certain scene range theory.,Vegetarian,4,Short seven task though policy expert.,Kashi Vishwanath Temple
Varanasi,134990,44836,2024-01-01,2024-05-07,Group,"Nature, Adventure, Food-related",Villa,Street Food,"Kerala, Leh, Varanasi",English,Leh,150000-160000,Snowy,Low,Hostel,News unit feel discuss.,Seafood,4,When together political measure series very.,Periyar Wildlife Sanctuary
Kerala,30763,40454,2024-11-15,2024-12-09,Group,"Nature, Adventure, Food-related",Resort,Street Food,"Mumbai, Leh, Andaman",English,Kerala,90000-100000,Snowy,Medium,Resort,Fear tough arm.,North Indian,2,Evening join red.,"Solang Valley, Rohtang Pass"
Leh,21937,16257,2024-09-05,2025-01-04,Family,Nature,Hotel,Seafood,Andaman,English,Delhi,50000-60000,Snowy,Medium,Resort,Past must staff space other.,South Indian,2,Physical leg operation.,"Munnar, Alleppey, Varkala"
Jaipur,29194,161398,2024-05-31,2024-06-16,Family,Relaxation,Hostel,Street Food,"Jaipur, Andaman, Kerala",English,Leh,180000-190000,Snowy,Medium,Homestay,Group meeting deep door.,North Indian,3,Likely crime blue.,"Fort Kochi, Thekkady"
Mumbai,174515,78546,2024-03-31,2024-04-23,Family,"Food-related, Adventure, Relaxation",Hotel,Vegetarian,Jaipur,English,Kerala,70000-80000,Snowy,Low,Homestay,Give subject agency discussion.,Seafood,5,Pick special federal also pay win.,Kashi Vishwanath Temple
Manali,109804,30117,2024-06-26,2024-09-13,Group,"Relaxation, Cultural",Villa,Street Food,Manali,English,Rishikesh,40000-50000,Snowy,High,Resort,Then suddenly maintain return fly decide particular.,Seafood,2,Create again worker our.,Periyar Wildlife Sanctuary
Kerala,76617,87514,2024-11-14,2024-12-29,Family,"Food-related, Nature",Resort,Seafood,"Andaman, Kerala, Manali",English,Mumbai,20000-30000,Snowy,Medium,Hostel,Local rule front.,South Indian,5,Organization finally human week event draw.,"Solang Valley, Rohtang Pass"
Andaman,151705,140165,2024-11-30,2024-12-29,Group,Relaxation,Resort,North Indian,Varanasi,English,Jaipur,50000-60000,Snowy,High,Hotel,Project shoulder hope far write accept.,Seafood,1,Travel product character fear save.,"Munnar, Alleppey, Varkala"
Delhi,180119,73566,2024-08-04,2024-12-16,Solo,"Cultural, Food-related, Adventure",Homestay,North Indian,Andaman,English,Leh,10000-20000,Snowy,Low,Hotel,Nation various woman.,Street Food,2,Charge president administration gas.,"Fort Kochi, Thekkady"
Delhi,150089,144140,2024-04-24,2024-11-21,Couple,"Adventure, Food-related",Villa,Vegetarian,"Andaman, Mumbai, Goa",English,Andaman,40000-50000,Moderate,Low,Resort,Maintain meet pull amount trouble address.,Seafood,4,Tough woman pull decision.,Kashi Vishwanath Temple
Rishikesh,142088,22988,2024-06-18,2024-11-10,Couple,"Food-related, Relaxation",Villa,South Indian,"Leh, Varanasi",English,Jaipur,170000-180000,Tropical,Medium,Villa,Them international moment certain.,South Indian,4,Development gun million police.,Periyar Wildlife Sanctuary
Goa,110639,127021,2024-09-08,2024-09-27,Family,Cultural,Villa,Seafood,"Goa, Manali",English,Mumbai,30000-40000,Tropical,High,Resort,Enough what very approach.,North Indian,3,Amount third several mouth general born.,"Solang Valley, Rohtang Pass"
Leh,12447,120713,2024-06-24,2024-08-27,Solo,"Adventure, Relaxation, Cultural",Hotel,North Indian,"Leh, Andaman, Rishikesh",English,Leh,190000-200000,Snowy,High,Villa,Plan environmental price camera series.,Seafood,2,Art seem anyone chair.,"Munnar, Alleppey, Varkala"
Varanasi,72489,188873,2024-02-22,2024-05-02,Solo,"Cultural, Food-related, Adventure",Villa,Seafood,Mumbai,English,Kerala,160000-170000,Tropical,Low,Hostel,Know step team.,Seafood,5,Point between main.,"Fort Kochi, Thekkady"
Jaipur,96224,22865,2024-04-23,2024-10-19,Family,"Relaxation, Food-related",Homestay,North Indian,"Manali, Jaipur, Leh",English,Leh,40000-50000,Moderate,Medium,Homestay,Example top fly news discuss.,Seafood,4,Base then call.,Kashi Vishwanath Temple
Andaman,57052,120599,2024-03-25,2024-05-18,Solo,"Adventure, Relaxation",Hotel,Vegetarian,"Kerala, Delhi, Jaipur",English,Leh,120000-130000,Moderate,Medium,Resort,Fish down world.,Vegetarian,4,Discover term more out pay.,Periyar Wildlife Sanctuary
Rishikesh,12566,40439,2024-06-12,2024-06-20,Family,"Food-related, Adventure",Hostel,South Indian,Manali,English,Delhi,60000-70000,Tropical,Medium,Resort,Husband like item.,South Indian,4,Military sport check.,"Solang Valley, Rohtang Pass"
Kerala,191552,175553,2024-01-15,2024-02-07,Group,"Nature, Adventure",Hotel,Vegetarian,"Rishikesh, Goa",English,Andaman,120000-130000,Snowy,High,Villa,Thousand admit truth because not.,Street Food,4,For others use site.,"Munnar, Alleppey, Varkala"
Delhi,155266,193807,2024-04-01,2024-07-07,Couple,Adventure,Homestay,Street Food,"Jaipur, Goa, Manali",English,Jaipur,120000-130000,Tropical,Low,Villa,Find consumer away water performance strong.,North Indian,5,Would war exactly civil.,"Fort Kochi, Thekkady"
Goa,29449,138671,2024-06-28,2024-07-06,Solo,"Nature, Adventure",Hostel,North Indian,"Delhi, Rishikesh",English,Goa,150000-160000,Snowy,High,Resort,Me threat affect service.,Vegetarian,4,Occur my fly involve us challenge.,Kashi Vishwanath Temple
Delhi,75311,51895,2024-06-12,2024-06-20,Solo,Nature,Villa,Street Food,"Kerala, Varanasi, Jaipur",English,Mumbai,150000-160000,Snowy,Medium,Hostel,Take although onto may.,Street Food,5,Make east election sound.,Periyar Wildlife Sanctuary
Varanasi,77698,55416,2024-01-07,2024-02-05,Group,"Adventure, Cultural",Hotel,South Indian,"Rishikesh, Kerala, Goa",English,Goa,60000-70000,Moderate,Low,Homestay,Long cultural must.,Seafood,5,Personal wide bad help economic ok.,"Solang Valley, Rohtang Pass"
Mumbai,150466,35456,2024-05-26,2024-12-01,Couple,Adventure,Homestay,Seafood,Jaipur,English,Goa,50000-60000,Moderate,High,Resort,Occur after performance agent.,Street Food,3,Democrat itself go until later.,"Munnar, Alleppey, Varkala"
Jaipur,69903,195955,2024-11-20,2024-11-21,Couple,"Food-related, Nature, Cultural",Resort,Vegetarian,"Leh, Kerala",English,Manali,140000-150000,Moderate,Low,Hotel,Authority federal store weight item.,Street Food,3,Deal power result avoid week.,"Fort Kochi, Thekkady"
Kerala,24417,193824,2024-12-09,2025-01-02,Family,"Adventure, Relaxation, Food-related",Villa,North Indian,Varanasi,English,Goa,170000-180000,Tropical,Low,Resort,House pretty purpose network.,South Indian,2,Push section federal stand century spring.,Kashi Vishwanath Temple
Manali,87648,157691,2024-02-05,2024-10-05,Solo,Food-related,Homestay,North Indian,"Rishikesh, Leh, Jaipur",English,Delhi,130000-140000,Snowy,Medium,Hostel,Page possible scientist want sense difficult.,North Indian,2,Sell join of range one.,Periyar Wildlife Sanctuary
Kerala,168638,64435,2024-08-04,2024-09-25,Solo,"Adventure, Food-related",Hotel,North Indian,"Andaman, Leh",English,Leh,110000-120000,Moderate,Medium,Homestay,Have three provide investment turn.,Seafood,4,Say interest business bank.,"Solang Valley, Rohtang Pass"
Varanasi,43201,192479,2024-04-20,2024-11-16,Family,"Relaxation, Adventure",Hostel,North Indian,"Rishikesh, Andaman, Leh",English,Kerala,10000-20000,Moderate,Low,Villa,Continue speak sound quickly.,North Indian,1,Place actually shoulder put trade.,"Munnar, Alleppey, Varkala"
Jaipur,134607,127852,2024-01-08,2024-02-09,Couple,Adventure,Hostel,South Indian,Andaman,English,Rishikesh,100000-110000,Snowy,Medium,Hostel,Dinner near then skin.,South Indian,3,Other recently build.,"Fort Kochi, Thekkady"
Rishikesh,73861,119906,2024-04-05,2024-10-11,Couple,"Food-related, Cultural",Homestay,Vegetarian,"Goa, Andaman",English,Delhi,30000-40000,Tropical,High,Resort,Play level protect number.,South Indian,5,Drive rich ask true full.,Kashi Vishwanath Temple
Mumbai,56257,66620,2024-07-05,2024-11-17,Solo,"Food-related, Adventure, Cultural",Resort,South Indian,Jaipur,English,Jaipur,90000-100000,Tropical,Medium,Villa,Conference least message add.,Seafood,4,Any middle later.,Periyar Wildlife Sanctuary
Andaman,128003,84086,2024-05-22,2024-09-20,Family,"Cultural, Adventure, Relaxation",Hotel,Vegetarian,Jaipur,English,Jaipur,10000-20000,Moderate,High,Hotel,Understand sure bit actually product.,South Indian,4,Military detail avoid want.,"Solang Valley, Rohtang Pass"
Kerala,184541,26084,2024-10-29,2024-11-12,Solo,"Adventure, Cultural, Nature",Resort,North Indian,Goa,English,Andaman,80000-90000,Snowy,Medium,Homestay,Join exist statement instead fall.,Vegetarian,2,Decision relationship hand few future human.,"Munnar, Alleppey, Varkala"
Andaman,60158,184226,2024-09-27,2024-12-26,Solo,"Adventure, Nature, Food-related",Homestay,Vegetarian,"Goa, Manali, Kerala",English,Kerala,30000-40000,Moderate,Low,Homestay,Capital player all eight relate.,North Indian,4,Inside two him hour what.,"Fort Kochi, Thekkady"
Jaipur,157867,45713,2024-10-01,2025-01-06,Solo,"Adventure, Nature, Cultural",Resort,Vegetarian,"Rishikesh, Mumbai",English,Kerala,70000-80000,Snowy,Medium,Hostel,Country ask rock.,Seafood,3,Once explain page.,Kashi Vishwanath Temple
Jaipur,131206,169204,2024-05-20,2024-12-19,Solo,"Cultural, Food-related",Resort,Street Food,Andaman,English,Mumbai,60000-70000,Tropical,High,Hotel,Call his court speak.,Seafood,3,Man notice the girl.,Periyar Wildlife Sanctuary
Mumbai,164335,50804,2024-03-14,2024-07-01,Family,"Cultural, Nature, Relaxation",Villa,Seafood,Andaman,English,Mumbai,140000-150000,Moderate,Low,Hotel,Town sometimes trip.,Seafood,4,Add leave main positive question up.,"Solang Valley, Rohtang Pass"
Leh,188378,51125,2024-10-03,2024-10-10,Solo,"Food-related, Adventure",Hostel,North Indian,Varanasi,English,Kerala,10000-20000,Tropical,Medium,Hostel,Us nothing response sing.,Vegetarian,4,Policy seat hear skin support.,"Munnar, Alleppey, Varkala"
Leh,80603,140006,2024-08-02,2024-10-09,Family,Adventure,Villa,North Indian,"Varanasi, Delhi",English,Kerala,150000-160000,Tropical,Low,Hotel,Miss every new everyone our hour.,North Indian,3,Big particularly reveal top.,"Fort Kochi, Thekkady"
Mumbai,83413,30481,2024-04-21,2024-06-08,Couple,"Cultural, Adventure",Resort,Street Food,Andaman,English,Mumbai,130000-140000,Moderate,Low,Resort,Wide indicate painting view group.,Street Food,2,Ago may school walk region party.,Kashi Vishwanath Temple
Leh,39170,127183,2024-10-29,2024-12-15,Couple,"Cultural, Food-related, Relaxation",Villa,Seafood,"Rishikesh, Mumbai, Kerala",English,Andaman,170000-180000,Moderate,High,Villa,Court standard population culture mother.,Street Food,5,Soldier compare move.,Periyar Wildlife Sanctuary
Leh,188135,50113,2024-07-10,2024-08-05,Solo,Nature,Villa,Seafood,Andaman,English,Goa,190000-200000,Tropical,High,Villa,Eye actually lead human energy enjoy.,Vegetarian,1,Generation unit practice body allow.,"Solang Valley, Rohtang Pass"
Mumbai,102311,16556,2024-07-25,2024-08-07,Solo,Nature,Villa,Street Food,"Delhi, Andaman, Manali",English,Varanasi,170000-180000,Tropical,Low,Homestay,Cause month between.,South Indian,4,Practice within discuss method.,"Munnar, Alleppey, Varkala"
